timestamp,sensor,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration,connection_state,alert_signature,alert_category,severity,ml_label,ml_confidence,evidence_summary,tcp_flags,dns_query,http_host,tls_sni
1777725036.533465100,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533465215,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,499,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.533465330,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,97,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.533552897,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533588182,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533590880,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533593555,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533596331,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533599533,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533602468,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533604940,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.603727343,wireshark,8.8.8.8,192.168.1.7,53,39428,eth:ethertype:ip:udp:dns,331,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.603757996,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,78,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.824410807,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725036.910896982,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725037.824375296,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725037.940972300,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725038.496372620,wireshark,192.168.1.7,142.251.209.202,37790,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725038.549417125,wireshark,142.251.209.202,192.168.1.7,443,37790,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725038.824474285,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725038.866997050,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725039.824378935,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725039.880681109,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725040.016349698,wireshark,192.168.1.7,142.251.208.138,37412,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725040.085636003,wireshark,142.251.208.138,192.168.1.7,443,37412,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725040.824537140,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725040.904775288,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725041.552363676,wireshark,192.168.1.7,142.251.209.202,56852,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725041.621631615,wireshark,142.251.209.202,192.168.1.7,443,56852,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725041.698301503,wireshark,192.168.1.7,102.132.97.54,35192,443,eth:ethertype:ip:tcp:tls,136,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725041.724039895,wireshark,102.132.97.54,192.168.1.7,443,35192,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725041.772712757,wireshark,102.132.97.54,192.168.1.7,443,35192,eth:ethertype:ip:tcp:tls,138,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725041.772742875,wireshark,192.168.1.7,102.132.97.54,35192,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725041.824387479,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725042.031918986,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725042.824403190,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725042.867038615,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725043.338534174,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp:tls,207,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725043.338561276,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp:tls,994,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725043.465454564,wireshark,20.50.201.201,192.168.1.7,443,48932,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725043.465454770,wireshark,20.50.201.201,192.168.1.7,443,48932,eth:ethertype:ip:tcp:tls,528,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725043.465482000,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725043.824595606,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725043.874634802,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725044.285181360,wireshark,104.18.39.21,192.168.1.7,443,36318,eth:ethertype:ip:tcp:tls,90,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725044.285321882,wireshark,192.168.1.7,104.18.39.21,36318,443,eth:ethertype:ip:tcp:tls,94,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725044.489804944,wireshark,104.18.39.21,192.168.1.7,443,36318,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725044.605117155,wireshark,192.168.1.7,8.8.8.8,57460,53,eth:ethertype:ip:udp:dns,71,0,0.0,,,,0,unscored,0.0,,,chatgpt.com,,
1777725044.605136120,wireshark,192.168.1.7,8.8.8.8,57460,53,eth:ethertype:ip:udp:dns,71,0,0.0,,,,0,unscored,0.0,,,chatgpt.com,,
1777725044.605734646,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725044.605741991,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725044.605744170,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725044.605746177,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725044.605748317,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
